id_municipio;uf;municipio;longitude;latitude;codigo_ibge
885;GO;ABADIA DE GOIÁS;-49,441156;-16,757326;520005
1344;MG;ABADIA DOS DOURADOS;-47,391623;-18,483101;
886;GO;ABADIÂNIA;-48,705672;-16,196973;520010
1345;MG;ABAETÉ;-45,444413;-19,155125;310020
2401;PA;ABAETETUBA;-48,878843;-1,721828;150010
620;CE;ABAIARA;-39,04159;-7,345879;230010
204;BA;ABAÍRA;-41,661869;-13,24883;
205;BA;ABARÉ;-39,116178;-8,720734;
3173;PR;ABATIÁ;-50,313281;-23,304863;
4364;SC;ABDON BATISTA;-51,023275;-27,612628;
2402;PA;ABEL FIGUEIREDO;-48,393285;-4,953327;
4365;SC;ABELARDO LUZ;-52,322881;-26,571585;420010
1346;MG;ABRE CAMPO;-42,474304;-20,299647;
2767;PE;ABREU E LIMA;-34,898389;-7,900719;260005
5377;TO;ABREULÂNDIA;-49,151845;-9,621015;
1347;MG;ACAIACA;-43,143867;-20,359034;310040
1127;MA;AÇAILÂNDIA;-47,500383;-4,947137;
206;BA;ACAJUTIBA;-38,019737;-11,657522;
2403;PA;ACARÁ;-48,198513;-1,953833;
621;CE;ACARAPÉ;-38,705532;-4,22083;230015
622;CE;ACARAÚ;-40,118306;-2,887689;230020
3664;RN;ACARI;-36,634719;-6,428201;
2952;PI;ACAUÃ;-41,083059;-8,219542;
5633;RS;ACEGUÁ;-54,161467;-31,866483;
623;CE;ACOPIARA;-39,448042;-6,089114;
2274;MT;ACORIZAL;-56,363226;-15,194025;
2;AC;ACRELÂNDIA;-66,897166;-9,825808;120001
887;GO;ACREÚNA;-50,374903;-17,39599;520013
3665;RN;AÇU;-36,907538;-5,565024;240020
1348;MG;AÇUCENA;-42,541881;-19,067105;310050
4732;SP;ADAMANTINA;-51,073695;-21,682012;350010
888;GO;ADELÂNDIA;-50,165699;-16,4127;
4733;SP;ADOLFO;-49,645128;-21,232494;350020
3174;PR;ADRIANÓPOLIS;-48,992164;-24,660607;
207;BA;ADUSTINA;-38,111265;-10,54369;
2768;PE;AFOGADOS DA INGAZEIRA;-37,630991;-7,743121;260010
3666;RN;AFONSO BEZERRA;-36,507469;-5,492294;240030
807;ES;AFONSO CLÁUDIO;-41,12606;-20,077841;
1128;MA;AFONSO CUNHA;-43,327527;-4,136313;
2769;PE;AFRÂNIO;-41,009544;-8,511358;260020
2404;PA;AFUÁ;-50,38613;-0,154874;
2770;PE;AGRESTINA;-35,944725;-8,459657;260030
2953;PI;AGRICOLÂNDIA;-42,666371;-5,796763;
4366;SC;AGROLÂNDIA;-49,822049;-27,408685;
4367;SC;AGRONÔMICA;-49,707996;-27,266154;
2405;PA;ÁGUA AZUL DO NORTE;-50,479068;-6,790534;150034
1349;MG;ÁGUA BOA;-42,380648;-17,991373;510020
2275;MT;ÁGUA BOA;-52,160133;-14,051019;510020
24;AL;ÁGUA BRANCA;-37,937988;-9,261996;220020
2544;PB;ÁGUA BRANCA;-37,635703;-7,511441;220020
2954;PI;ÁGUA BRANCA;-42,636961;-5,888564;220020
2197;MS;ÁGUA CLARA;-52,87899;-20,445245;500020
1350;MG;ÁGUA COMPRIDA;-48,106879;-20,05757;
4368;SC;ÁGUA DOCE;-51,552812;-26,998452;
1129;MA;ÁGUA DOCE DO MARANHÃO;-42,118903;-2,840479;
808;ES;ÁGUA DOCE DO NORTE;-40,985411;-18,54822;
